                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 2.2877,                 3.1353,                 1.6361,                0.14437,                0.08708,                0.05563,                0.02357,                 2.4175,                 3.4443,                 1.8029,              0.0005842,              0.0005842,              0.0005842
                     44,                  2.278,                 3.1157,                 1.6316,                0.14648,                0.08851,                0.05611,                0.02391,                 2.4169,                 3.4425,                 1.8017,              0.0005743,              0.0005743,              0.0005743
                     45,                 2.2802,                 3.1208,                 1.6334,                0.14933,                0.08883,                0.05704,                0.02418,                 2.4164,                 3.4388,                 1.8004,              0.0005644,              0.0005644,              0.0005644
                     46,                 2.2729,                 3.1119,                 1.6321,                 0.1461,                0.08946,                0.05723,                0.02432,                 2.4154,                 3.4357,                 1.7988,              0.0005545,              0.0005545,              0.0005545
                     47,                 2.2687,                 3.0958,                 1.6247,                 0.1463,                0.09132,                0.05785,                0.02457,                  2.415,                 3.4328,                 1.7978,              0.0005446,              0.0005446,              0.0005446
                     48,                 2.2691,                  3.101,                 1.6276,                0.14663,                  0.093,                0.05867,                0.02492,                  2.414,                  3.429,                 1.7964,              0.0005347,              0.0005347,              0.0005347
                     49,                 2.2671,                 3.0937,                 1.6217,                0.14081,                0.09267,                 0.0602,                0.02552,                 2.4141,                 3.4253,                 1.7954,              0.0005248,              0.0005248,              0.0005248
                     50,                 2.2696,                 3.0862,                 1.6257,                0.13643,                0.09448,                0.06077,                0.02581,                 2.4143,                  3.423,                 1.7949,              0.0005149,              0.0005149,              0.0005149
                     51,                 2.2641,                 3.0819,                 1.6235,                0.15103,                0.09535,                0.06125,                0.02603,                 2.4146,                 3.4195,                 1.7943,               0.000505,               0.000505,               0.000505
                     52,                 2.2596,                 3.0764,                 1.6166,                0.15099,                0.09602,                0.06165,                0.02624,                 2.4142,                 3.4146,                 1.7934,              0.0004951,              0.0004951,              0.0004951
                     53,                  2.253,                 3.0605,                 1.6164,                 0.1509,                0.09739,                0.06263,                0.02679,                 2.4135,                 3.4111,                 1.7919,              0.0004852,              0.0004852,              0.0004852
                     54,                  2.253,                 3.0541,                  1.616,                0.16168,                0.09814,                0.06341,                0.02707,                 2.4123,                  3.407,                 1.7903,              0.0004753,              0.0004753,              0.0004753
                     55,                 2.2512,                 3.0449,                 1.6152,                0.17288,                0.09998,                0.06386,                0.02716,                 2.4115,                 3.4045,                 1.7893,              0.0004654,              0.0004654,              0.0004654
                     56,                 2.2534,                 3.0429,                 1.6042,                0.15174,                0.10004,                0.06375,                0.02716,                 2.4117,                 3.4005,                 1.7877,              0.0004555,              0.0004555,              0.0004555
                     57,                  2.249,                 3.0447,                 1.6038,                0.15083,                0.10052,                0.06464,                0.02745,                 2.4112,                 3.3958,                 1.7862,              0.0004456,              0.0004456,              0.0004456
                     58,                  2.247,                 3.0375,                 1.6011,                0.14769,                 0.1011,                0.06465,                0.02751,                 2.4106,                 3.3913,                  1.785,              0.0004357,              0.0004357,              0.0004357
                     59,                 2.2418,                 3.0252,                 1.6034,                0.14341,                0.10274,                0.06493,                 0.0276,                 2.4097,                 3.3879,                 1.7836,              0.0004258,              0.0004258,              0.0004258
                     60,                 2.2385,                 3.0196,                 1.6061,                0.14581,                 0.1037,                 0.0656,                0.02779,                 2.4091,                 3.3841,                 1.7822,              0.0004159,              0.0004159,              0.0004159
                     61,                 2.2387,                 3.0129,                 1.5967,                0.14587,                 0.1062,                0.06652,                0.02815,                 2.4086,                 3.3804,                  1.781,               0.000406,               0.000406,               0.000406
                     62,                 2.2343,                 3.0026,                 1.5969,                0.15404,                0.10672,                0.06699,                0.02836,                 2.4085,                 3.3773,                 1.7799,              0.0003961,              0.0003961,              0.0003961
                     63,                 2.2354,                 3.0072,                 1.5974,                0.15156,                0.10719,                0.06741,                0.02849,                 2.4082,                 3.3734,                 1.7787,              0.0003862,              0.0003862,              0.0003862
                     64,                 2.2366,                 2.9974,                 1.5957,                0.14851,                0.10782,                0.06787,                 0.0286,                 2.4081,                 3.3695,                 1.7774,              0.0003763,              0.0003763,              0.0003763
